#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Speed (ns/day)"	"Time Remaining"
91.3%	1370000	-2039627.8109689169	300.5955140892891	1332.863064055494	0	--
92.0%	1380000	-2053777.1516911648	300.75790382616924	1178.16533358513	92	7:30
92.7%	1390000	-2054923.6354001388	299.4552495611267	1173.489199561712	91.1	6:57
93.3%	1400000	-2055549.7015664056	301.43727782370405	1170.6308180369595	90.7	6:20
94.0%	1410000	-2059035.0322429277	301.3283655081877	1171.845453643511	90.8	5:42
94.7%	1420000	-2057748.11777943	302.13833061948947	1173.684602165163	90.9	5:04
95.3%	1430000	-2052790.688132234	302.53771957389864	1173.3379406802121	91	4:25
96.0%	1440000	-2055306.8327392042	302.3256937612663	1172.1886943431166	91	3:47
96.7%	1450000	-2055004.821944639	301.7768407498606	1171.5084873787537	91.1	3:09
97.3%	1460000	-2059384.2479598373	302.082096745291	1171.0905030167144	91.1	2:31
98.0%	1470000	-2055986.211209841	300.0130745956747	1171.2602625842399	91.1	1:53
98.7%	1480000	-2055435.02057527	300.97106267332583	1171.6975994016796	91.1	1:15
99.3%	1490000	-2055909.3959053531	301.1759569696411	1171.7166822981787	91.1	0:37
100.0%	1500000	-2055642.8290441036	299.95734973994814	1169.51617028798	91.1	0:00
100.7%	1510000	-2058303.8504933752	301.29859359629194	1170.6646785504497	91.1	23:59:23
101.3%	1520000	-2055862.1673070937	300.75098500199596	1171.805024243268	91	23:58:45
102.0%	1530000	-2056556.869949121	301.41104622020123	1170.4598356197343	91	23:58:07
102.7%	1540000	-2058414.6539159194	301.17856798875	1173.4388666390375	91.1	23:57:29
103.3%	1550000	-2057871.45606542	300.9050574228889	1173.037310353833	91.1	23:56:51
104.0%	1560000	-2057408.7893625349	301.10840790185784	1172.2092053745855	91	23:56:13
104.7%	1570000	-2054843.4028739594	301.28285727214876	1173.3141388838899	91	23:55:35
105.3%	1580000	-2056663.3942502886	301.19093610355753	1173.2412632134317	91	23:54:57
106.0%	1590000	-2058319.510970287	301.3497958462229	1172.0943048929973	91	23:54:19
106.7%	1600000	-2056873.975871615	301.09042509878043	1169.6582736666853	91	23:53:41
107.3%	1610000	-2055454.126468841	302.31223562236846	1172.6885167863236	91	23:53:03
108.0%	1620000	-2056021.1812917367	300.31801209136853	1174.3244055135935	91	23:52:25
108.7%	1630000	-2058348.783729259	301.7840181226288	1171.613529530383	91	23:51:47
109.3%	1640000	-2056990.005072251	301.2532060033206	1172.338456864881	91	23:51:09
110.0%	1650000	-2057267.1969695836	302.4908554942596	1171.7992301484896	91	23:50:31
110.7%	1660000	-2058515.5914242193	301.6465229043949	1170.4870401098963	91	23:49:53
111.3%	1670000	-2057028.860829588	301.62149647752227	1171.3643102553867	91	23:49:15
112.0%	1680000	-2055862.6244032122	302.0772021443037	1174.224671254694	91	23:48:37
112.7%	1690000	-2055461.6531081572	300.7271629316001	1171.130993639647	91	23:47:59
113.3%	1700000	-2054647.8450928405	301.520041887376	1169.8572904500022	91	23:47:21
114.0%	1710000	-2058192.7881994732	300.49863725319295	1170.6774556717453	91	23:46:43
114.7%	1720000	-2056419.6255255379	300.34286603396964	1173.9362452884752	91	23:46:05
115.3%	1730000	-2057180.5771949925	301.14652458854385	1171.074631911361	91	23:45:27
116.0%	1740000	-2056600.8791453019	300.17363369081744	1171.9954988956877	91	23:44:49
116.7%	1750000	-2057504.126055535	300.90664672102577	1172.7811451438104	91	23:44:11
117.3%	1760000	-2057799.2597334757	301.4955953947674	1171.1496007685935	91	23:43:33
118.0%	1770000	-2056615.037855126	300.39483794732587	1171.3769747689053	91	23:42:55
118.7%	1780000	-2054932.6390645988	300.94926084466823	1173.4351700241805	90.9	23:42:16
119.3%	1790000	-2056896.9460799545	300.9136009372558	1170.0897869710323	90.9	23:41:38
120.0%	1800000	-2056437.8741319962	300.7302864155804	1171.8589544488693	90.9	23:41:00
120.7%	1810000	-2056804.6729849465	301.53036372058307	1171.3887157757247	90.9	23:40:22
121.3%	1820000	-2054847.7512508705	302.40658323022114	1171.3643758855426	90.9	23:39:44
